Mach Number,Drag Coefficient
3.550600234,0.089224999
3.572733738,0.088530757
3.594988112,0.087844375
3.617363993,0.087165737
3.639862024,0.086494729
3.662482852,0.085831238
3.685227131,0.085175154
3.708095518,0.084526371
3.731088678,0.083884783
3.754207281,0.083250286
3.777452,0.08262278
3.800823518,0.082002165
3.824322519,0.081388345
3.847949697,0.080781224
3.871705751,0.080180709
3.895591383,0.079586708
3.919607305,0.078999131
3.943754234,0.078417891
3.968032893,0.077842901
3.992444011,0.077274077
4.016988325,0.076711335
4.041666578,0.076154594
4.066479519,0.075603775
4.091427905,0.075058798
4.116512499,0.074519587
4.141734074,0.073986067
4.167093406,0.073458163
4.192591282,0.072935802
4.218228496,0.072418913
4.244005847,0.071907427
4.269924145,0.071401273
4.295984207,0.070900386
4.322186858,0.070404698
4.348532931,0.069914144
4.375023269,0.06942866
4.401658722,0.068948184
4.42844015,0.068472654
4.45536842,0.068002009
4.48244441,0.067536189
4.509669008,0.067075137
4.53704311,0.066618795
4.564567621,0.066167106
4.592243459,0.065720014
4.620071548,0.065277466
4.648052827,0.064839408
4.676188241,0.064405787
4.704478749,0.063976551
4.732925318,0.063551649
4.76152893,0.063131032
4.790290575,0.06271465
4.819211255,0.062302455
4.848291986,0.061894399
4.877533795,0.061490436
4.906937719,0.06109052
4.936504812,0.060694605
4.966236137,0.060302648
4.996132772,0.059914604
5.026195808,0.05953043
5.05642635,0.059150084
5.086825515,0.058773525
5.117394437,0.058400712
5.148134262,0.058047821
5.179046311,0.057707296
5.210131825,0.057370183
5.241391973,0.057036449
5.27282794,0.056706059
5.304440925,0.056378979
5.336232147,0.056055175
5.368202841,0.055734615
5.400354258,0.055417267
5.43268767,0.055103099
5.465204364,0.054792079
5.497905648,0.054484176
5.530792848,0.05417936
5.563867309,0.053877601
